"TOWN","variable","value"
"Stratford town","X15M5559",1861
"Suffield town","X15M5559",611
"Thomaston town","X15M5559",385
"Thompson town","X15M5559",444
"Tolland town","X15M5559",721
"Torrington town","X15M5559",1580
"Trumbull town","X15M5559",1525
"Union town","X15M5559",33
"Vernon town","X15M5559",1130
"Voluntown town","X15M5559",123
"Wallingford town","X15M5559",1842
"Warren town","X15M5559",59
"Washington town","X15M5559",177
"Waterbury town","X15M5559",3541
"Waterford town","X15M5559",837
"Watertown town","X15M5559",953
"West Hartford town","X15M5559",2213
"West Haven town","X15M5559",1876
"Westbrook town","X15M5559",320
"Weston town","X15M5559",502
"Westport town","X15M5559",1191
"Wethersfield town","X15M5559",1016
"Willington town","X15M5559",271
"Wilton town","X15M5559",759
"Winchester town","X15M5559",481
"Windham town","X15M5559",749
"Windsor Locks town","X15M5559",534
"Windsor town","X15M5559",1137
"Wolcott town","X15M5559",745
"Woodbridge town","X15M5559",442
"Woodbury town","X15M5559",515
"Woodstock town","X15M5559",386
"","X15M5559",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X15M5559",NA
"Andover town","X15M6064",136
"Ansonia town","X15M6064",553
"Ashford town","X15M6064",191
"Avon town","X15M6064",624
"Barkhamsted town","X15M6064",181
"Beacon Falls town","X15M6064",194
"Berlin town","X15M6064",823
"Bethany town","X15M6064",229
"Bethel town","X15M6064",670
"Bethlehem town","X15M6064",185
"Bloomfield town","X15M6064",746
"Bolton town","X15M6064",208
"Bozrah town","X15M6064",89
"Branford town","X15M6064",1098
"Bridgeport town","X15M6064",3223
"Bridgewater town","X15M6064",68
"Bristol town","X15M6064",1784
"Brookfield town","X15M6064",618
"Brooklyn town","X15M6064",269
"Burlington town","X15M6064",361
"Canaan town","X15M6064",58
"Canterbury town","X15M6064",216
"Canton town","X15M6064",394
"Chaplin town","X15M6064",95
"Cheshire town","X15M6064",1001
"Chester town","X15M6064",195
"Clinton town","X15M6064",498
"Colchester town","X15M6064",483
"Colebrook town","X15M6064",72
"Columbia town","X15M6064",238
"Cornwall town","X15M6064",72
"Coventry town","X15M6064",452
"Cromwell town","X15M6064",473
"Danbury town","X15M6064",2123
"Darien town","X15M6064",532
"Deep River town","X15M6064",186
"Derby town","X15M6064",380
"Durham town","X15M6064",286
"East Granby town","X15M6064",180
"East Haddam town","X15M6064",371
"East Hampton town","X15M6064",500
"East Hartford town","X15M6064",1468
"East Haven town","X15M6064",918
"East Lyme town","X15M6064",614
"East Windsor town","X15M6064",417
"Eastford town","X15M6064",75
"Easton town","X15M6064",275
"Ellington town","X15M6064",557
"Enfield town","X15M6064",1255
"Essex town","X15M6064",294
"Fairfield town","X15M6064",1629
"Farmington town","X15M6064",881
"Franklin town","X15M6064",81
"Glastonbury town","X15M6064",1094
"Goshen town","X15M6064",150
"Granby town","X15M6064",457
"Greenwich town","X15M6064",1909
"Griswold town","X15M6064",422
"Groton town","X15M6064",1062
"Guilford town","X15M6064",902
"Haddam town","X15M6064",349
"Hamden town","X15M6064",1711
"Hampton town","X15M6064",84
"Hartford town","X15M6064",2574
"Hartland town","X15M6064",100
"Harwinton town","X15M6064",245
"Hebron town","X15M6064",336
"Kent town","X15M6064",157
"Killingly town","X15M6064",573
"Killingworth town","X15M6064",263
"Lebanon town","X15M6064",305
"Ledyard town","X15M6064",514
"Lisbon town","X15M6064",159
"Litchfield town","X15M6064",366
"Lyme town","X15M6064",148
"Madison town","X15M6064",652
"Manchester town","X15M6064",1716
"Mansfield town","X15M6064",420
"Marlborough town","X15M6064",247
"Meriden town","X15M6064",1775
"Middlebury town","X15M6064",278
"Middlefield town","X15M6064",183
"Middletown town","X15M6064",1372
"Milford town","X15M6064",1805
"Monroe town","X15M6064",673
"Montville town","X15M6064",665
"Morris town","X15M6064",124
"Naugatuck town","X15M6064",933
"New Britain town","X15M6064",1885
"New Canaan town","X15M6064",652
"New Fairfield town","X15M6064",476
"New Hartford town","X15M6064",325
"New Haven town","X15M6064",2509
"New London town","X15M6064",667
"New Milford town","X15M6064",914
"Newington town","X15M6064",944
"Newtown town","X15M6064",948
"Norfolk town","X15M6064",79
"North Branford town","X15M6064",535
"North Canaan town","X15M6064",110
"North Haven town","X15M6064",816
"North Stonington town","X15M6064",274
"Norwalk town","X15M6064",2330
"Norwich town","X15M6064",1307
"Old Lyme town","X15M6064",345
"Old Saybrook town","X15M6064",387
"Orange town","X15M6064",500
"Oxford town","X15M6064",516
"Plainfield town","X15M6064",468
"Plainville town","X15M6064",593
"Plymouth town","X15M6064",475
"Pomfret town","X15M6064",171
"Portland town","X15M6064",365
"Preston town","X15M6064",194
"Prospect town","X15M6064",361
"Putnam town","X15M6064",281
"Redding town","X15M6064",342
"Ridgefield town","X15M6064",806
"Rocky Hill town","X15M6064",738
"Roxbury town","X15M6064",101
"Salem town","X15M6064",161
"Salisbury town","X15M6064",157
"Scotland town","X15M6064",72
"Seymour town","X15M6064",553
"Sharon town","X15M6064",128
"Shelton town","X15M6064",1361
"Sherman town","X15M6064",170
"Simsbury town","X15M6064",769
"Somers town","X15M6064",344
"South Windsor town","X15M6064",887
"Southbury town","X15M6064",744
"Southington town","X15M6064",1386
"Sprague town","X15M6064",107
"Stafford town","X15M6064",436
"Stamford town","X15M6064",3127
"Sterling town","X15M6064",135
"Stonington town","X15M6064",748
"Stratford town","X15M6064",1537
"Suffield town","X15M6064",483
"Thomaston town","X15M6064",276
"Thompson town","X15M6064",330
"Tolland town","X15M6064",525
"Torrington town","X15M6064",1274
"Trumbull town","X15M6064",1148
"Union town","X15M6064",29
"Vernon town","X15M6064",890
"Voluntown town","X15M6064",129
"Wallingford town","X15M6064",1599
"Warren town","X15M6064",67
"Washington town","X15M6064",192
"Waterbury town","X15M6064",2775
"Waterford town","X15M6064",708
"Watertown town","X15M6064",834
"West Hartford town","X15M6064",1840
"West Haven town","X15M6064",1516
"Westbrook town","X15M6064",271
"Weston town","X15M6064",391
"Westport town","X15M6064",893
"Wethersfield town","X15M6064",832
"Willington town","X15M6064",219
"Wilton town","X15M6064",586
"Winchester town","X15M6064",441
"Windham town","X15M6064",559
"Windsor Locks town","X15M6064",416
"Windsor town","X15M6064",1031
"Wolcott town","X15M6064",552
"Woodbridge town","X15M6064",382
"Woodbury town","X15M6064",403
"Woodstock town","X15M6064",329
"","X15M6064",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X15M6064",NA
"Andover town","X15M6569",86
"Ansonia town","X15M6569",427
"Ashford town","X15M6569",122
"Avon town","X15M6569",572
"Barkhamsted town","X15M6569",133
"Beacon Falls town","X15M6569",192
"Berlin town","X15M6569",644
"Bethany town","X15M6569",158
"Bethel town","X15M6569",454
"Bethlehem town","X15M6569",143
"Bloomfield town","X15M6569",628
"Bolton town","X15M6569",145
"Bozrah town","X15M6569",82
"Branford town","X15M6569",933
"Bridgeport town","X15M6569",2358
"Bridgewater town","X15M6569",71
"Bristol town","X15M6569",1460
"Brookfield town","X15M6569",390
"Brooklyn town","X15M6569",194
"Burlington town","X15M6569",251
"Canaan town","X15M6569",47
"Canterbury town","X15M6569",189
"Canton town","X15M6569",325
"Chaplin town","X15M6569",62
"Cheshire town","X15M6569",777
"Chester town","X15M6569",165
"Clinton town","X15M6569",415
"Colchester town","X15M6569",395
"Colebrook town","X15M6569",57
"Columbia town","X15M6569",187
"Cornwall town","X15M6569",70
"Coventry town","X15M6569",367
"Cromwell town","X15M6569",434
"Danbury town","X15M6569",1598
"Darien town","X15M6569",363
"Deep River town","X15M6569",166
"Derby town","X15M6569",332
"Durham town","X15M6569",200
"East Granby town","X15M6569",148
"East Haddam town","X15M6569",329
"East Hampton town","X15M6569",429
"East Hartford town","X15M6569",1067
"East Haven town","X15M6569",781
"East Lyme town","X15M6569",533
"East Windsor town","X15M6569",330
"Eastford town","X15M6569",79
"Easton town","X15M6569",205
"Ellington town","X15M6569",453
"Enfield town","X15M6569",915
"Essex town","X15M6569",250
"Fairfield town","X15M6569",1212
"Farmington town","X15M6569",675
"Franklin town","X15M6569",59
"Glastonbury town","X15M6569",933
"Goshen town","X15M6569",148
"Granby town","X15M6569",333
"Greenwich town","X15M6569",1387
"Griswold town","X15M6569",310
"Groton town","X15M6569",891
"Guilford town","X15M6569",806
"Haddam town","X15M6569",297
"Hamden town","X15M6569",1371
"Hampton town","X15M6569",77
"Hartford town","X15M6569",2174
"Hartland town","X15M6569",69
"Harwinton town","X15M6569",212
"Hebron town","X15M6569",290
"Kent town","X15M6569",129
"Killingly town","X15M6569",456
"Killingworth town","X15M6569",278
"Lebanon town","X15M6569",233
"Ledyard town","X15M6569",392
"Lisbon town","X15M6569",137
"Litchfield town","X15M6569",316
"Lyme town","X15M6569",129
"Madison town","X15M6569",618
"Manchester town","X15M6569",1377
"Mansfield town","X15M6569",353
"Marlborough town","X15M6569",210
"Meriden town","X15M6569",1458
"Middlebury town","X15M6569",227
"Middlefield town","X15M6569",135
"Middletown town","X15M6569",1084
"Milford town","X15M6569",1514
"Monroe town","X15M6569",477
"Montville town","X15M6569",570
"Morris town","X15M6569",91
"Naugatuck town","X15M6569",729
"New Britain town","X15M6569",1312
"New Canaan town","X15M6569",482
"New Fairfield town","X15M6569",337
"New Hartford town","X15M6569",260
"New Haven town","X15M6569",2066
"New London town","X15M6569",529
"New Milford town","X15M6569",729
"Newington town","X15M6569",890
"Newtown town","X15M6569",690
"Norfolk town","X15M6569",60
"North Branford town","X15M6569",458
"North Canaan town","X15M6569",95
"North Haven town","X15M6569",714
"North Stonington town","X15M6569",168
"Norwalk town","X15M6569",1893
"Norwich town","X15M6569",1056
"Old Lyme town","X15M6569",284
"Old Saybrook town","X15M6569",383
"Orange town","X15M6569",416
"Oxford town","X15M6569",451
"Plainfield town","X15M6569",339
"Plainville town","X15M6569",486
"Plymouth town","X15M6569",351
"Pomfret town","X15M6569",104
"Portland town","X15M6569",289
"Preston town","X15M6569",167
"Prospect town","X15M6569",265
"Putnam town","X15M6569",256
"Redding town","X15M6569",300
"Ridgefield town","X15M6569",617
"Rocky Hill town","X15M6569",664
"Roxbury town","X15M6569",118
"Salem town","X15M6569",124
"Salisbury town","X15M6569",159
"Scotland town","X15M6569",77
"Seymour town","X15M6569",446
"Sharon town","X15M6569",115
"Shelton town","X15M6569",1210
"Sherman town","X15M6569",116
"Simsbury town","X15M6569",596
"Somers town","X15M6569",273
"South Windsor town","X15M6569",603
"Southbury town","X15M6569",669
"Southington town","X15M6569",1278
"Sprague town","X15M6569",59
"Stafford town","X15M6569",303
"Stamford town","X15M6569",2581
"Sterling town","X15M6569",89
"Stonington town","X15M6569",637
"Stratford town","X15M6569",1365
"Suffield town","X15M6569",388
"Thomaston town","X15M6569",211
"Thompson town","X15M6569",253
"Tolland town","X15M6569",399
"Torrington town","X15M6569",1001
"Trumbull town","X15M6569",871
"Union town","X15M6569",46
"Vernon town","X15M6569",730
"Voluntown town","X15M6569",81
"Wallingford town","X15M6569",1240
"Warren town","X15M6569",62
"Washington town","X15M6569",153
"Waterbury town","X15M6569",2256
"Waterford town","X15M6569",603
"Watertown town","X15M6569",687
"West Hartford town","X15M6569",1630
"West Haven town","X15M6569",1263
"Westbrook town","X15M6569",244
"Weston town","X15M6569",267
"Westport town","X15M6569",670
"Wethersfield town","X15M6569",739
"Willington town","X15M6569",163
"Wilton town","X15M6569",402
"Winchester town","X15M6569",361
"Windham town","X15M6569",483
"Windsor Locks town","X15M6569",314
"Windsor town","X15M6569",873
"Wolcott town","X15M6569",374
"Woodbridge town","X15M6569",304
"Woodbury town","X15M6569",364
"Woodstock town","X15M6569",249
"","X15M6569",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X15M6569",NA
"Andover town","X15M7074",54
"Ansonia town","X15M7074",325
"Ashford town","X15M7074",68
"Avon town","X15M7074",323
"Barkhamsted town","X15M7074",83
"Beacon Falls town","X15M7074",143
"Berlin town","X15M7074",423
"Bethany town","X15M7074",126
"Bethel town","X15M7074",303
"Bethlehem town","X15M7074",98
"Bloomfield town","X15M7074",485
"Bolton town","X15M7074",111
"Bozrah town","X15M7074",64
"Branford town","X15M7074",646
"Bridgeport town","X15M7074",1642
"Bridgewater town","X15M7074",67
"Bristol town","X15M7074",993
"Brookfield town","X15M7074",313
"Brooklyn town","X15M7074",141
"Burlington town","X15M7074",200
"Canaan town","X15M7074",28
"Canterbury town","X15M7074",119
"Canton town","X15M7074",260
"Chaplin town","X15M7074",49
"Cheshire town","X15M7074",473
"Chester town","X15M7074",107
"Clinton town","X15M7074",292
"Colchester town","X15M7074",273
"Colebrook town","X15M7074",40
"Columbia town","X15M7074",144
"Cornwall town","X15M7074",46
"Coventry town","X15M7074",256
"Cromwell town","X15M7074",222
"Danbury town","X15M7074",987
"Darien town","X15M7074",278
"Deep River town","X15M7074",100
"Derby town","X15M7074",229
"Durham town","X15M7074",165
"East Granby town","X15M7074",108
"East Haddam town","X15M7074",219
"East Hampton town","X15M7074",268
"East Hartford town","X15M7074",781
"East Haven town","X15M7074",539
"East Lyme town","X15M7074",452
"East Windsor town","X15M7074",225
"Eastford town","X15M7074",38
"Easton town","X15M7074",174
"Ellington town","X15M7074",312
"Enfield town","X15M7074",685
"Essex town","X15M7074",203
"Fairfield town","X15M7074",919
"Farmington town","X15M7074",491
"Franklin town","X15M7074",52
"Glastonbury town","X15M7074",616
"Goshen town","X15M7074",86
"Granby town","X15M7074",205
"Greenwich town","X15M7074",1123
"Griswold town","X15M7074",201
"Groton town","X15M7074",665
"Guilford town","X15M7074",621
"Haddam town","X15M7074",215
"Hamden town","X15M7074",834
"Hampton town","X15M7074",52
"Hartford town","X15M7074",1374
"Hartland town","X15M7074",51
"Harwinton town","X15M7074",150
"Hebron town","X15M7074",171
"Kent town","X15M7074",75
"Killingly town","X15M7074",268
"Killingworth town","X15M7074",185
"Lebanon town","X15M7074",137
"Ledyard town","X15M7074",308
"Lisbon town","X15M7074",91
"Litchfield town","X15M7074",231
"Lyme town","X15M7074",96
"Madison town","X15M7074",468
"Manchester town","X15M7074",894
"Mansfield town","X15M7074",267
"Marlborough town","X15M7074",149
"Meriden town","X15M7074",916
"Middlebury town","X15M7074",190
"Middlefield town","X15M7074",81
"Middletown town","X15M7074",715
"Milford town","X15M7074",1075
"Monroe town","X15M7074",293
"Montville town","X15M7074",406
"Morris town","X15M7074",55
"Naugatuck town","X15M7074",513
"New Britain town","X15M7074",807
"New Canaan town","X15M7074",322
"New Fairfield town","X15M7074",273
