District ID,District Name,School Year,Number of ELL Students,Total Enrollment,Percentage ELL
58,Griswold School District,2003-04,10,2222,0.5
59,Groton School District,2003-04,109,5697,1.9
60,Guilford School District,2003-04,31,3891,0.8
62,Hamden School District,2003-04,29,6322,0.5
64,Hartford School District,2003-04,3682,21963,16.8
65,Hartland School District,2003-04,1,263,0.4
265,Interdistrict School for Arts and Comm District,2003-04,1,111,0.9
69,Killingly School District,2003-04,90,2833,3.2
245,Learn,2003-04,56,459,12.2
71,Lebanon School District,2003-04,4,1535,0.3
72,Ledyard School District,2003-04,21,2957,0.7
73,Lisbon School District,2003-04,2,623,0.3
76,Madison School District,2003-04,9,3715,0.2
77,Manchester School District,2003-04,193,7531,2.6
78,Mansfield School District,2003-04,21,1407,1.5
79,Marlborough School District,2003-04,1,631,0.2
80,Meriden School District,2003-04,607,8866,6.8
83,Middletown School District,2003-04,105,5155,2
84,Milford School District,2003-04,139,7525,1.8
85,Monroe School District,2003-04,25,4309,0.6
86,Montville School District,2003-04,63,2892,2.2
88,Naugatuck School District,2003-04,182,5397,3.4
89,New Britain School District,2003-04,1363,10699,12.7
90,New Canaan School District,2003-04,22,3986,0.6
93,New Haven School District,2003-04,1997,19387,10.3
95,New London School District,2003-04,629,2983,21.1
96,New Milford School District,2003-04,116,5240,2.2
94,Newington School District,2003-04,121,4594,2.6
99,North Branford School District,2003-04,16,2500,0.6
100,North Canaan School District,2003-04,16,379,4.2
101,North Haven School District,2003-04,65,3773,1.7
103,Norwalk School District,2003-04,1124,11108,10.1
901,Norwich Free Academy,2003-04,64,2341,2.7
104,Norwich School District,2003-04,211,3962,5.3
106,Old Saybrook School District,2003-04,54,1585,3.4
107,Orange School District,2003-04,7,1350,0.5
108,Oxford School District,2003-04,2,1406,0.1
109,Plainfield School District,2003-04,3,2630,0.1
110,Plainville School District,2003-04,77,2621,2.9
111,Plymouth School District,2003-04,26,1828,1.4
112,Pomfret School District,2003-04,1,542,0.2
113,Portland School District,2003-04,4,1418,0.3
114,Preston School District,2003-04,3,522,0.6
116,Putnam School District,2003-04,30,1363,2.2
117,Redding School District,2003-04,2,1279,0.2
201,Regional School District 01,2003-04,2,594,0.3
204,Regional School District 04,2003-04,1,873,0.1
205,Regional School District 05,2003-04,6,2461,0.2
212,Regional School District 12,2003-04,2,1131,0.2
215,Regional School District 15,2003-04,36,4465,0.8
216,Regional School District 16,2003-04,3,2590,0.1
218,Regional School District 18,2003-04,5,1567,0.3
219,Regional School District 19,2003-04,22,1257,1.8
118,Ridgefield School District,2003-04,35,5483,0.6
119,Rocky Hill School District,2003-04,50,2467,2
124,Seymour School District,2003-04,47,2726,1.7
126,Shelton School District,2003-04,104,5648,1.8
127,Sherman School District,2003-04,3,494,0.6
270,Side By Side Community School District,2003-04,37,221,16.7
128,Simsbury School District,2003-04,45,5003,0.9
129,Somers School District,2003-04,1,1727,0.1
132,South Windsor School District,2003-04,67,5076,1.3
131,Southington School District,2003-04,48,6672,0.7
133,Sprague School District,2003-04,3,315,1
134,Stafford School District,2003-04,16,1988,0.8
135,Stamford School District,2003-04,2153,15204,14.2
137,Stonington School District,2003-04,10,2425,0.4
138,Stratford School District,2003-04,125,7634,1.6
139,Suffield School District,2003-04,2,2420,0.1
269,The Bridge Academy District,2003-04,2,175,1.1
902,The Gilbert School,2003-04,6,524,1.1
140,Thomaston School District,2003-04,5,1305,0.4
142,Tolland School District,2003-04,13,3018,0.4
143,Torrington School District,2003-04,201,4935,4.1
278,Trailblazers Academy District,2003-04,5,109,4.6
144,Trumbull School District,2003-04,41,6515,0.6
146,Vernon School District,2003-04,87,4018,2.2
148,Wallingford School District,2003-04,203,7147,2.8
151,Waterbury School District,2003-04,1926,17145,11.2
