District ID,District Name,School Year,Languages,Number of Students with Non-English Home Language,Number of ELL Students
2,Ansonia School District,2005-06,All,295,133
244,Area Cooperative Educational Services,2005-06,All,85,31
3,Ashford School District,2005-06,All,9,9
4,Avon School District,2005-06,All,105,11
5,Barkhamsted School District,2005-06,All,**,**
7,Berlin School District,2005-06,All,238,107
9,Bethel School District,2005-06,All,272,126
11,Bloomfield School District,2005-06,All,33,2
12,Bolton School District,2005-06,All,8,7
13,Bozrah School District,2005-06,All,**,**
14,Branford School District,2005-06,All,143,78
15,Bridgeport School District,2005-06,All,8170,3098
17,Bristol School District,2005-06,All,631,196
18,Brookfield School District,2005-06,All,57,2
23,Canton School District,2005-06,All,20,12
241,Capitol Region Education Council,2005-06,All,156,67
25,Cheshire School District,2005-06,All,226,61
27,Clinton School District,2005-06,All,42,42
28,Colchester School District,2005-06,All,55,3
30,Columbia School District,2005-06,All,**,**
900,Connecticut Technical High School System,2005-06,All,1280,738
243,Cooperative Educational Services,2005-06,All,29,1
33,Cromwell School District,2005-06,All,109,54
34,Danbury School District,2005-06,All,3535,1661
35,Darien School District,2005-06,All,133,65
36,Deep River School District,2005-06,All,17,7
37,Derby School District,2005-06,All,206,112
40,East Granby School District,2005-06,All,32,7
41,East Haddam School District,2005-06,All,17,4
42,East Hampton School District,2005-06,All,29,5
43,East Hartford School District,2005-06,All,1270,357
44,East Haven School District,2005-06,All,246,140
45,East Lyme School District,2005-06,All,137,29
47,East Windsor School District,2005-06,All,82,44
48,Ellington School District,2005-06,All,45,27
49,Enfield School District,2005-06,All,179,81
50,Essex School District,2005-06,All,8,5
51,Fairfield School District,2005-06,All,560,174
52,Farmington School District,2005-06,All,343,50
54,Glastonbury School District,2005-06,All,422,164
56,Granby School District,2005-06,All,25,5
57,Greenwich School District,2005-06,All,1535,604
58,Griswold School District,2005-06,All,42,11
59,Groton School District,2005-06,All,201,83
60,Guilford School District,2005-06,All,34,34
62,Hamden School District,2005-06,All,641,163
64,Hartford School District,2005-06,All,9989,3827
67,Hebron School District,2005-06,All,**,**
264,Integrated Day Charter School District,2005-06,All,24,7
265,Interdistrict School for Arts and Comm District,2005-06,All,12,3
69,Killingly School District,2005-06,All,86,86
245,Learn,2005-06,All,97,96
71,Lebanon School District,2005-06,All,10,3
72,Ledyard School District,2005-06,All,46,10
73,Lisbon School District,2005-06,All,7,1
76,Madison School District,2005-06,All,55,13
77,Manchester School District,2005-06,All,182,182
78,Mansfield School District,2005-06,All,116,23
79,Marlborough School District,2005-06,All,13,1
80,Meriden School District,2005-06,All,2399,680
83,Middletown School District,2005-06,All,194,137
84,Milford School District,2005-06,All,429,188
85,Monroe School District,2005-06,All,133,35
86,Montville School District,2005-06,All,129,83
88,Naugatuck School District,2005-06,All,639,210
89,New Britain School District,2005-06,All,4557,1651
90,New Canaan School District,2005-06,All,124,27
91,New Fairfield School District,2005-06,All,18,8
93,New Haven School District,2005-06,All,5446,2094
95,New London School District,2005-06,All,759,725
96,New Milford School District,2005-06,All,280,102
94,Newington School District,2005-06,All,492,145
97,Newtown School District,2005-06,All,58,3
99,North Branford School District,2005-06,All,37,11
100,North Canaan School District,2005-06,All,14,13
101,North Haven School District,2005-06,All,249,65
102,North Stonington School District,2005-06,All,6,1
103,Norwalk School District,2005-06,All,3817,1322
901,Norwich Free Academy,2005-06,All,261,78
104,Norwich School District,2005-06,All,655,343
106,Old Saybrook School District,2005-06,All,82,42
107,Orange School District,2005-06,All,52,7
108,Oxford School District,2005-06,All,40,2
109,Plainfield School District,2005-06,All,42,42
110,Plainville School District,2005-06,All,217,110
111,Plymouth School District,2005-06,All,28,23
112,Pomfret School District,2005-06,All,**,**
113,Portland School District,2005-06,All,9,2
116,Putnam School District,2005-06,All,59,43
117,Redding School District,2005-06,All,15,2
204,Regional School District 04,2005-06,All,20,10
205,Regional School District 05,2005-06,All,75,18
206,Regional School District 06,2005-06,All,**,**
208,Regional School District 08,2005-06,All,**,**
209,Regional School District 09,2005-06,All,27,2
210,Regional School District 10,2005-06,All,44,16
212,Regional School District 12,2005-06,All,12,1
213,Regional School District 13,2005-06,All,8,1
214,Regional School District 14,2005-06,All,30,6
215,Regional School District 15,2005-06,All,127,31
216,Regional School District 16,2005-06,All,51,10
218,Regional School District 18,2005-06,All,18,3
219,Regional School District 19,2005-06,All,14,14
118,Ridgefield School District,2005-06,All,100,31
119,Rocky Hill School District,2005-06,All,250,70
124,Seymour School District,2005-06,All,174,55
126,Shelton School District,2005-06,All,508,113
127,Sherman School District,2005-06,All,7,6
270,Side By Side Community School District,2005-06,All,45,19
128,Simsbury School District,2005-06,All,197,66
129,Somers School District,2005-06,All,25,4
132,South Windsor School District,2005-06,All,277,70
131,Southington School District,2005-06,All,240,83
133,Sprague School District,2005-06,All,7,4
134,Stafford School District,2005-06,All,30,13
135,Stamford School District,2005-06,All,5319,2119
137,Stonington School District,2005-06,All,19,15
138,Stratford School District,2005-06,All,516,243
269,The Bridge Academy District,2005-06,All,31,2
902,The Gilbert School,2005-06,All,35,9
140,Thomaston School District,2005-06,All,27,5
142,Tolland School District,2005-06,All,30,21
143,Torrington School District,2005-06,All,467,271
144,Trumbull School District,2005-06,All,266,101
146,Vernon School District,2005-06,All,214,83
148,Wallingford School District,2005-06,All,504,248
151,Waterbury School District,2005-06,All,2448,2140
152,Waterford School District,2005-06,All,154,22
153,Watertown School District,2005-06,All,161,65
155,West Hartford School District,2005-06,All,1706,649
156,West Haven School District,2005-06,All,1041,434
154,Westbrook School District,2005-06,All,13,4
157,Weston School District,2005-06,All,22,16
158,Westport School District,2005-06,All,168,94
159,Wethersfield School District,2005-06,All,267,189
160,Willington School District,2005-06,All,16,6
161,Wilton School District,2005-06,All,120,28
162,Winchester School District,2005-06,All,64,58
163,Windham School District,2005-06,All,947,729
165,Windsor Locks School District,2005-06,All,102,48
164,Windsor School District,2005-06,All,180,102
166,Wolcott School District,2005-06,All,42,41
167,Woodbridge School District,2005-06,All,57,15
903,Woodstock Academy,2005-06,All,18,4
169,Woodstock School District,2005-06,All,23,10
2,Ansonia School District,2004-05,All,249,83
244,Area Cooperative Educational Services,2004-05,All,91,19
4,Avon School District,2004-05,All,130,55
7,Berlin School District,2004-05,All,235,104
9,Bethel School District,2004-05,All,268,121
11,Bloomfield School District,2004-05,All,38,1
13,Bozrah School District,2004-05,All,**,**
14,Branford School District,2004-05,All,197,113
15,Bridgeport School District,2004-05,All,8290,2824
17,Bristol School District,2004-05,All,613,184
23,Canton School District,2004-05,All,19,12
241,Capitol Region Education Council,2004-05,All,103,49
25,Cheshire School District,2004-05,All,55,55
27,Clinton School District,2004-05,All,28,28
28,Colchester School District,2004-05,All,56,21
900,Connecticut Technical High School System,2004-05,All,1466,799
243,Cooperative Educational Services,2004-05,All,19,1
33,Cromwell School District,2004-05,All,124,76
34,Danbury School District,2004-05,All,3449,1468
35,Darien School District,2004-05,All,107,31
37,Derby School District,2004-05,All,211,114
40,East Granby School District,2004-05,All,32,5
41,East Haddam School District,2004-05,All,17,6
42,East Hampton School District,2004-05,All,30,7
43,East Hartford School District,2004-05,All,1324,381
44,East Haven School District,2004-05,All,301,121
45,East Lyme School District,2004-05,All,126,37
47,East Windsor School District,2004-05,All,85,44
48,Ellington School District,2004-05,All,41,26
49,Enfield School District,2004-05,All,180,85
51,Fairfield School District,2004-05,All,556,144
52,Farmington School District,2004-05,All,322,33
53,Franklin School District,2004-05,All,**,**
54,Glastonbury School District,2004-05,All,390,151
56,Granby School District,2004-05,All,26,5
57,Greenwich School District,2004-05,All,1532,617
58,Griswold School District,2004-05,All,41,14
59,Groton School District,2004-05,All,220,103
60,Guilford School District,2004-05,All,36,35
62,Hamden School District,2004-05,All,144,53
64,Hartford School District,2004-05,All,10567,3797
67,Hebron School District,2004-05,All,**,**
264,Integrated Day Charter School District,2004-05,All,19,6
69,Killingly School District,2004-05,All,124,82
245,Learn,2004-05,All,68,68
71,Lebanon School District,2004-05,All,11,3
72,Ledyard School District,2004-05,All,63,41
76,Madison School District,2004-05,All,51,14
77,Manchester School District,2004-05,All,839,206
78,Mansfield School District,2004-05,All,136,37
80,Meriden School District,2004-05,All,2359,674
83,Middletown School District,2004-05,All,191,117
84,Milford School District,2004-05,All,388,153
85,Monroe School District,2004-05,All,134,31
86,Montville School District,2004-05,All,102,72
88,Naugatuck School District,2004-05,All,622,211
89,New Britain School District,2004-05,All,4420,1594
90,New Canaan School District,2004-05,All,123,36
91,New Fairfield School District,2004-05,All,39,2
93,New Haven School District,2004-05,All,5562,2142
95,New London School District,2004-05,All,746,689
96,New Milford School District,2004-05,All,249,110
94,Newington School District,2004-05,All,409,116
97,Newtown School District,2004-05,All,67,4
99,North Branford School District,2004-05,All,43,4
100,North Canaan School District,2004-05,All,18,18
101,North Haven School District,2004-05,All,215,57
102,North Stonington School District,2004-05,All,6,2
103,Norwalk School District,2004-05,All,3236,1275
901,Norwich Free Academy,2004-05,All,254,63
104,Norwich School District,2004-05,All,664,282
106,Old Saybrook School District,2004-05,All,78,58
107,Orange School District,2004-05,All,59,5
109,Plainfield School District,2004-05,All,38,14
110,Plainville School District,2004-05,All,184,93
111,Plymouth School District,2004-05,All,29,21
113,Portland School District,2004-05,All,9,4
114,Preston School District,2004-05,All,7,2
116,Putnam School District,2004-05,All,49,42
117,Redding School District,2004-05,All,18,2
205,Regional School District 05,2004-05,All,79,6
206,Regional School District 06,2004-05,All,**,**
208,Regional School District 08,2004-05,All,**,**
209,Regional School District 09,2004-05,All,24,4
210,Regional School District 10,2004-05,All,58,2
212,Regional School District 12,2004-05,All,9,3
213,Regional School District 13,2004-05,All,**,**
215,Regional School District 15,2004-05,All,109,38
216,Regional School District 16,2004-05,All,50,10
218,Regional School District 18,2004-05,All,29,2
219,Regional School District 19,2004-05,All,21,19
118,Ridgefield School District,2004-05,All,103,35
119,Rocky Hill School District,2004-05,All,240,64
124,Seymour School District,2004-05,All,175,43
126,Shelton School District,2004-05,All,482,103
127,Sherman School District,2004-05,All,**,**
270,Side By Side Community School District,2004-05,All,41,35
128,Simsbury School District,2004-05,All,171,65
129,Somers School District,2004-05,All,21,3
132,South Windsor School District,2004-05,All,271,65
