StartDate,EndDate,State,Textbox36,textbox14,Textbox38,textbox6,textbox12City,textbox18
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2011,375,Algeria,New Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2012,509,Algeria,New Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2013,547,Algeria,New Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2002,493,Angola,New Haven,6
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2003,214,Angola,New Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2004,423,Angola,New Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2005,578,Angola,New Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2006,254,Angola,New Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2007,486,Angola,New Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2008,390,Angola,New Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2009,408,Angola,New Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2010,514,Angola,New Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2011,375,Angola,New Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2012,509,Angola,New Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2013,547,Angola,New Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2002,493,Azerbaijan,Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2003,214,Azerbaijan,Hartford,5
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2004,423,Azerbaijan,Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2005,578,Azerbaijan,Hartford,4
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2006,254,Azerbaijan,Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2007,486,Azerbaijan,Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2008,390,Azerbaijan,Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2009,408,Azerbaijan,Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2010,514,Azerbaijan,Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2011,375,Azerbaijan,Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2012,509,Azerbaijan,Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2013,547,Azerbaijan,Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2002,493,Azerbaijan,Manchester,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2003,214,Azerbaijan,Manchester,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2004,423,Azerbaijan,Manchester,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2005,578,Azerbaijan,Manchester,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2006,254,Azerbaijan,Manchester,2
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2007,486,Azerbaijan,Manchester,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2008,390,Azerbaijan,Manchester,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2009,408,Azerbaijan,Manchester,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2010,514,Azerbaijan,Manchester,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2011,375,Azerbaijan,Manchester,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2012,509,Azerbaijan,Manchester,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2013,547,Azerbaijan,Manchester,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2002,493,Belarus,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2003,214,Belarus,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2004,423,Belarus,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2005,578,Belarus,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2006,254,Belarus,Bridgeport,2
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2007,486,Belarus,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2008,390,Belarus,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2009,408,Belarus,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2010,514,Belarus,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2011,375,Belarus,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2012,509,Belarus,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2013,547,Belarus,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2002,493,Belarus,Greenwich,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2003,214,Belarus,Greenwich,4
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2004,423,Belarus,Greenwich,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2005,578,Belarus,Greenwich,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2006,254,Belarus,Greenwich,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2007,486,Belarus,Greenwich,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2008,390,Belarus,Greenwich,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2009,408,Belarus,Greenwich,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2010,514,Belarus,Greenwich,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2011,375,Belarus,Greenwich,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2012,509,Belarus,Greenwich,0
